IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd
1,969.42,1119.06,1,0,1,541,13,86,7,127.026,129.776,122.848,12.1738,11.9345,12.8084
1,1308.5,1101,1,0,1,189,8,68,7,137.27,137.894,130.894,7.01903,6.87969,8.17133
1,1037,1072.5,1,0,1,371,11,90,6,130.488,132.879,127.485,10.889,11.0021,11.0179
1,2432,1015.5,1,0,1,479,12,60,6,125.85,125.624,119.739,10.5757,11.0065,11.0643
1,403.088,1012.35,1,0,1,92,7,232,10,86.4457,86.6848,93.0543,16.9608,17.0698,16.0834
1,1319,997.5,1,0,1,45,4,120,3,141.378,143.867,140.6,4.17132,4.67937,4.32265
1,1281,923,1,0,1,65,5,100,3,138.092,140.092,137.077,6.00376,6.00376,5.984
1,469,902.5,1,0,1,99,7,220,11,95.5859,98.6667,104.576,8.14074,8.2041,8.21683
1,2318,881,1,0,1,151,8,60,4,134.609,135.411,130.967,7.11585,6.95821,7.23854
1,1609.65,865.412,1,0,1,719,17,50,6,124.587,124.421,119.179,10.2428,10.394,11.5089
1,1969.5,825.5,1,0,1,388,12,60,6,122.698,122.698,116.722,10.2332,10.131,10.7457
1,1804,808,1,0,1,501,13,70,6,123.271,123.531,117.926,9.40932,8.83523,10.3634
1,2330,768.5,1,0,1,182,8,60,5,129.39,128.907,123.588,9.008,9.18717,9.36991
1,2412.11,750.747,1,0,1,439,12,60,5,124.371,124.096,118.647,11.3398,11.3537,12.301
1,1949,712.5,1,0,1,257,10,52,8,121.525,120.619,115.268,11.1068,10.9701,11.1465
1,2276,702,1,0,1,46,5,330,2,132.13,130.152,131.217,5.11576,5.27311,5.201
1,1852,699.5,1,0,1,268,10,76,4,123.175,123.627,119.534,9.27574,9.08183,9.66342
1,2162.05,666.35,1,0,1,330,11,60,4,120.224,119.797,115.597,8.80587,9.01654,9.62263
1,830.5,499.5,1,0,1,32,4,240,11,86.2812,86.25,94.3438,5.22222,5.26468,5.28376
